table_schema;table_name;column_name;origin_column;primary_key;index;description;ref_geom_table_schema;ref_geom_table_name;geom_join_on;coordinates_ifproj;condition
sas;analyses_pc_naiades_1433;cdparametre;CdParametre;FALSE;TRUE;Code du paramètre de l'analyse;;;;;1433
sas;analyses_pc_naiades_1433;lblongparametre;LbLongParamÃ¨tre;FALSE;TRUE;Libellé long du paramètre de l’analyse;;;;;
sas;analyses_pc_naiades_1433;rsana;RsAna;FALSE;FALSE;"Résultat de l’analyse physico-chimique et
microbiologique";;;;;
sas;analyses_pc_naiades_1433;symunitemesure;SymUniteMesure;FALSE;FALSE;Symbole de l’unité de mesure;;;;;
sas;analyses_pc_naiades_1433;mnemorqana;MnemoRqAna;FALSE;FALSE;"Mnémonique du code remarque de l'analyse
physico-chimique et microbiologique";;;;;
sas;analyses_pc_naiades_1433;ldana;LdAna;FALSE;FALSE;Limite de détection;;;;;
sas;analyses_pc_naiades_1433;lqana;LqAna;FALSE;FALSE;Limite de quantification;;;;;
sas;analyses_pc_naiades_1433;lsana;LsAna;FALSE;FALSE;Limite de saturation;;;;;
sas;analyses_pc_naiades_1433;incertana;IncertAna;FALSE;FALSE;Incertitude analytique;;;;;
sas;analyses_pc_naiades_1433;nommetfractionnement;NomMetFractionnement;FALSE;FALSE;Nom de la méthode de Fractionnement;;;;;
sas;analyses_pc_naiades_1433;nommethode;NomMethode;FALSE;FALSE;"Nom de la méthode de l’analyse physico-chimique
et microbiologique";;;;;
sas;analyses_pc_naiades_1433;lbqualana;LbQualAna;FALSE;FALSE;"Libellé de la qualification de l’acquisition du
résultat de l’analyse physico-chimique et
microbiologique";;;;;
sas;analyses_pc_naiades_1433;nomrdd;NomRdd;FALSE;FALSE;Nom du dispositif de collecte de l’analyse;;;;;
sas;analyses_pc_naiades_1433;nomproducteur;NomProducteur;FALSE;FALSE;"Nom de l’intervenant producteur de l’analyse
Note : précision sur la notion de producteur à
venir dans le Sandre. Le producteur représente le
maître d’ouvrage, ou le commanditaire de la
donnée et prend la responsabilité d’accepter la
donnée";;;;;
sas;analyses_pc_naiades_1506;cdstationmesureeauxsurface;CdStationMesureEauxSurface;FALSE;TRUE;"Code de la station de mesure: Identifiant de la
station de mesure dans le référentiel national
Sandre
Champ permettant d’effectuer une jointure
avec le fichier stations et opérations";sas;stations_naiades;cdstationmesureeauxsurface;;
sas;analyses_pc_naiades_1506;lbstationmesureeauxsurface;LbStationMesureEauxSurface;FALSE;FALSE;Libellé national de la station de mesure;;;;;
sas;analyses_pc_naiades_1506;lbsupport;LbSupport;FALSE;FALSE;Nom du support;;;;;
sas;analyses_pc_naiades_1506;lbfractionanalysee;LbFractionAnalysee;FALSE;FALSE;Nom de la fraction analysée;;;;;
sas;analyses_pc_naiades_1506;dateprel;DatePrel;FALSE;TRUE;"Date du début du prélèvement d’échantillons
Champ permettant une jointure avec le fichier
conditions environnementales";;;;;
sas;analyses_pc_naiades_1506;heureprel;HeurePrel;FALSE;FALSE;Heure du début du prélèvement d’échantillon;;;;;
sas;analyses_pc_naiades_1506;cdparametre;CdParametre;FALSE;TRUE;Code du paramètre de l'analyse;;;;;1506
sas;analyses_pc_naiades_1506;lblongparametre;LbLongParamÃ¨tre;FALSE;TRUE;Libellé long du paramètre de l’analyse;;;;;
sas;analyses_pc_naiades_1506;rsana;RsAna;FALSE;FALSE;"Résultat de l’analyse physico-chimique et
microbiologique";;;;;
sas;analyses_pc_naiades_1506;symunitemesure;SymUniteMesure;FALSE;FALSE;Symbole de l’unité de mesure;;;;;
sas;analyses_pc_naiades_1506;mnemorqana;MnemoRqAna;FALSE;FALSE;"Mnémonique du code remarque de l'analyse
physico-chimique et microbiologique";;;;;
sas;analyses_pc_naiades_1506;ldana;LdAna;FALSE;FALSE;Limite de détection;;;;;
sas;analyses_pc_naiades_1506;lqana;LqAna;FALSE;FALSE;Limite de quantification;;;;;
sas;analyses_pc_naiades_1506;lsana;LsAna;FALSE;FALSE;Limite de saturation;;;;;
sas;analyses_pc_naiades_1506;incertana;IncertAna;FALSE;FALSE;Incertitude analytique;;;;;
sas;analyses_pc_naiades_1506;nommetfractionnement;NomMetFractionnement;FALSE;FALSE;Nom de la méthode de Fractionnement;;;;;
sas;analyses_pc_naiades_1506;nommethode;NomMethode;FALSE;FALSE;"Nom de la méthode de l’analyse physico-chimique
et microbiologique";;;;;
sas;analyses_pc_naiades_1506;lbqualana;LbQualAna;FALSE;FALSE;"Libellé de la qualification de l’acquisition du
résultat de l’analyse physico-chimique et
microbiologique";;;;;
sas;analyses_pc_naiades_1506;nomrdd;NomRdd;FALSE;FALSE;Nom du dispositif de collecte de l’analyse;;;;;
sas;analyses_pc_naiades_1506;nomproducteur;NomProducteur;FALSE;FALSE;"Nom de l’intervenant producteur de l’analyse
Note : précision sur la notion de producteur à
venir dans le Sandre. Le producteur représente le
maître d’ouvrage, ou le commanditaire de la
donnée et prend la responsabilité d’accepter la
donnée";;;;;
sas;analyses_pc_naiades_1551;cdstationmesureeauxsurface;CdStationMesureEauxSurface;FALSE;TRUE;"Code de la station de mesure: Identifiant de la
station de mesure dans le référentiel national
Sandre
Champ permettant d’effectuer une jointure
avec le fichier stations et opérations";sas;stations_naiades;cdstationmesureeauxsurface;;
sas;analyses_pc_naiades_1551;lbstationmesureeauxsurface;LbStationMesureEauxSurface;FALSE;FALSE;Libellé national de la station de mesure;;;;;
sas;analyses_pc_naiades_1551;lbsupport;LbSupport;FALSE;FALSE;Nom du support;;;;;
sas;analyses_pc_naiades_1551;lbfractionanalysee;LbFractionAnalysee;FALSE;FALSE;Nom de la fraction analysée;;;;;
sas;analyses_pc_naiades_1551;dateprel;DatePrel;FALSE;TRUE;"Date du début du prélèvement d’échantillons
Champ permettant une jointure avec le fichier
conditions environnementales";;;;;
sas;analyses_pc_naiades_1551;heureprel;HeurePrel;FALSE;FALSE;Heure du début du prélèvement d’échantillon;;;;;
sas;analyses_pc_naiades_1551;cdparametre;CdParametre;FALSE;TRUE;Code du paramètre de l'analyse;;;;;1551
sas;analyses_pc_naiades_1551;lblongparametre;LbLongParamÃ¨tre;FALSE;TRUE;Libellé long du paramètre de l’analyse;;;;;
sas;analyses_pc_naiades_1551;rsana;RsAna;FALSE;FALSE;"Résultat de l’analyse physico-chimique et
microbiologique";;;;;
sas;analyses_pc_naiades_1551;symunitemesure;SymUniteMesure;FALSE;FALSE;Symbole de l’unité de mesure;;;;;
sas;analyses_pc_naiades_1551;mnemorqana;MnemoRqAna;FALSE;FALSE;"Mnémonique du code remarque de l'analyse
physico-chimique et microbiologique";;;;;
sas;analyses_pc_naiades_1551;ldana;LdAna;FALSE;FALSE;Limite de détection;;;;;
sas;analyses_pc_naiades_1551;lqana;LqAna;FALSE;FALSE;Limite de quantification;;;;;
sas;analyses_pc_naiades_1551;lsana;LsAna;FALSE;FALSE;Limite de saturation;;;;;
sas;analyses_pc_naiades_1551;incertana;IncertAna;FALSE;FALSE;Incertitude analytique;;;;;
sas;analyses_pc_naiades_1551;nommetfractionnement;NomMetFractionnement;FALSE;FALSE;Nom de la méthode de Fractionnement;;;;;
sas;analyses_pc_naiades_1551;nommethode;NomMethode;FALSE;FALSE;"Nom de la méthode de l’analyse physico-chimique
et microbiologique";;;;;
sas;analyses_pc_naiades_1551;lbqualana;LbQualAna;FALSE;FALSE;"Libellé de la qualification de l’acquisition du
résultat de l’analyse physico-chimique et
microbiologique";;;;;
sas;analyses_pc_naiades_1551;nomrdd;NomRdd;FALSE;FALSE;Nom du dispositif de collecte de l’analyse;;;;;
sas;analyses_pc_naiades_1551;nomproducteur;NomProducteur;FALSE;FALSE;"Nom de l’intervenant producteur de l’analyse
Note : précision sur la notion de producteur à
venir dans le Sandre. Le producteur représente le
maître d’ouvrage, ou le commanditaire de la
donnée et prend la responsabilité d’accepter la
donnée";;;;;
sas;secteurs_hydro_carthage;cdsecteurh;CdSecteurH;TRUE;FALSE;Secteur hydrographique;;;;;
sas;secteurs_hydro_carthage;lbsecteurh;LbSecteurH;FALSE;TRUE;Secteur hydrographique;;;;;
sas;secteurs_hydro_carthage;lbregionhy;LbRegionHy;FALSE;TRUE;Région hydrographique;;;;;
sas;rpg2020;id_parcel;ID_PARCEL;TRUE;FALSE;Identifiant parcelle RPG;;;;;
sas;rpg2020;code_cultu;CODE_CULTU;FALSE;TRUE;Code de la culture majoritaire déclarée;;;;;
sas;rpg2020;code_group;CODE_GROUP;FALSE;TRUE;Groupe de culture;;;;;
sas;rpg2020;culture_d1;CULTURE_D1;FALSE;TRUE;Culture dérobée 1;;;;;
sas;rpg2020;culture_d2;CULTURE_D2;FALSE;TRUE;Culture dérobée 2;;;;;
sas;rpg2015;id_parcel;ID_PARCEL;FALSE;TRUE;Identifiant parcelle RPG;;;;;
sas;rpg2015;code_cultu;CODE_CULTU;FALSE;TRUE;Code de la culture majoritaire déclarée;;;;;
sas;rpg2015;code_group;CODE_GROUP;FALSE;TRUE;Groupe de culture;;;;;
sas;rpg2015;culture_d1;CULTURE_D1;FALSE;TRUE;Culture dérobée 1;;;;;
sas;rpg2015;culture_d2;CULTURE_D2;FALSE;TRUE;Culture dérobée 2;;;;;
sas;bv_me;eu_cd;EU_CD;FALSE;TRUE;Code européen de la masse d'eau;;;;;
sas;etat_dce;date_ref;date_ref;TRUE;TRUE;Date de référence pour le rapportage;;;;;
sas;etat_dce;filename;fileName;FALSE;FALSE;Nom de fichier d'intégration;;;;;
sas;etat_dce;waterbodycode;WaterBodyCode;TRUE;FALSE;WaterBodyCode;sas;bv_me;eu_cd;;
sas;etat_dce;waterbodycategory;WaterBodyCategory;FALSE;FALSE;WaterBodyCategory;;;;;
sas;etat_dce;chemicalstatus;ChemicalStatus;FALSE;FALSE;ChemicalStatus;;;;;
sas;etat_dce;valueecologicalstatusorpotential;ValueEcologicalStatusOrPotential;FALSE;FALSE;ValueEcologicalStatusOrPotential;;;;;
sas;etat_dce;confidence;Confidence;FALSE;FALSE;Confidence;;;;;
sas;etat_dce;qe1-1 - phytoplankton;QE1-1 - Phytoplankton;FALSE;FALSE;QE1-1 - Phytoplankton;;;;;
sas;etat_dce;qe1-2 - other aquatic flora;QE1-2 - Other aquatic flora;FALSE;FALSE;QE1-2 - Other aquatic flora;;;;;
sas;etat_dce;qe1-2-1 - macroalgae;QE1-2-1 - Macroalgae;FALSE;FALSE;QE1-2-1 - Macroalgae;;;;;
sas;etat_dce;qe1-2-2 - angiosperms;QE1-2-2 - Angiosperms;FALSE;FALSE;QE1-2-2 - Angiosperms;;;;;
sas;etat_dce;qe1-2-3 - macropyhtes;QE1-2-3 - Macropyhtes;FALSE;FALSE;QE1-2-3 - Macropyhtes;;;;;
sas;etat_dce;qe1-2-4 - phytobenthos;QE1-2-4 - Phytobenthos;FALSE;FALSE;QE1-2-4 - Phytobenthos;;;;;
sas;etat_dce;qe1-3 - benthic invertebrates;QE1-3 - Benthic invertebrates;FALSE;FALSE;QE1-3 - Benthic invertebrates;;;;;
sas;etat_dce;qe1-4 - fish;QE1-4 - Fish;FALSE;FALSE;QE1-4 - Fish;;;;;
sas;etat_dce;qe1-5 - otherbiologicalqe;QE1-5 - OtherBiologicalQE;FALSE;FALSE;QE1-5 - OtherBiologicalQE;;;;;
sas;etat_dce;qe2-1 - hydrological or tidal regime;QE2-1 - Hydrological or tidal regime;FALSE;FALSE;QE2-1 - Hydrological or tidal regime;;;;;
sas;etat_dce;qe3-1 general physico chemical parameters;QE3-1 General physico chemical parameters;FALSE;FALSE;QE3-1 General physico chemical parameters;;;;;
sas;etat_dce;qe3-3 - river basin specific pollutants;QE3-3 - River Basin Specific Pollutants;FALSE;FALSE;QE3-3 - River Basin Specific Pollutants;;;;;
